iso_alpha3,country_name,d_event,d_year,d_total,l_event,l_year,l_total,n_event,n_total
AFG,Afghanistan,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,7200,Number of new HIV infections,840
AGO,Angola,Number of deaths due to HIV/AIDS,2018,14000,Estimated number of people (all ages) living with HIV,2018,330000,Number of new HIV infections,28000
ALB,Albania,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,1700,Number of new HIV infections,
ARE,United Arab Emirates,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
ARG,Argentina,Number of deaths due to HIV/AIDS,2018,1700,Estimated number of people (all ages) living with HIV,2018,140000,Number of new HIV infections,6500
ARM,Armenia,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,3500,Number of new HIV infections,200
AUS,Australia,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,28000,Number of new HIV infections,1000
AUT,Austria,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
AZE,Azerbaijan,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,9200,Number of new HIV infections,
BDI,Burundi,Number of deaths due to HIV/AIDS,2018,1900,Estimated number of people (all ages) living with HIV,2018,82000,Number of new HIV infections,1700
BEL,Belgium,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
BEN,Benin,Number of deaths due to HIV/AIDS,2018,2200,Estimated number of people (all ages) living with HIV,2018,73000,Number of new HIV infections,3800
BFA,Burkina Faso,Number of deaths due to HIV/AIDS,2018,3300,Estimated number of people (all ages) living with HIV,2018,96000,Number of new HIV infections,2400
BGD,Bangladesh,Number of deaths due to HIV/AIDS,2018,580,Estimated number of people (all ages) living with HIV,2018,14000,Number of new HIV infections,1600
BGR,Bulgaria,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,3500,Number of new HIV infections,500
BHR,Bahrain,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
BHS,Bahamas,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,6000,Number of new HIV infections,500
BIH,Bosnia and Herzegovina,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,350,Number of new HIV infections,100
BLR,Belarus,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,27000,Number of new HIV infections,2000
BLZ,Belize,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,4900,Number of new HIV infections,500
BOL,Bolivia (Plurinational State of),Number of deaths due to HIV/AIDS,2018,670,Estimated number of people (all ages) living with HIV,2018,22000,Number of new HIV infections,1400
BRA,Brazil,Number of deaths due to HIV/AIDS,2018,15000,Estimated number of people (all ages) living with HIV,2018,900000,Number of new HIV infections,53000
BRB,Barbados,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,3000,Number of new HIV infections,200
BRN,Brunei Darussalam,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
BTN,Bhutan,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,1300,Number of new HIV infections,100
BWA,Botswana,Number of deaths due to HIV/AIDS,2018,4800,Estimated number of people (all ages) living with HIV,2018,370000,Number of new HIV infections,8500
CAF,Central African Republic,Number of deaths due to HIV/AIDS,2018,4800,Estimated number of people (all ages) living with HIV,2018,110000,Number of new HIV infections,5500
CAN,Canada,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,63110,Number of new HIV infections,
CHE,Switzerland,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
CHL,Chile,Number of deaths due to HIV/AIDS,2018,590,Estimated number of people (all ages) living with HIV,2018,71000,Number of new HIV infections,5000
CHN,China,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
CIV,C̫te d'Ivoire,Number of deaths due to HIV/AIDS,2018,16000,Estimated number of people (all ages) living with HIV,2018,460000,Number of new HIV infections,17000
CMR,Cameroon,Number of deaths due to HIV/AIDS,2018,18000,Estimated number of people (all ages) living with HIV,2018,540000,Number of new HIV infections,23000
COD,Democratic Republic of the Congo,Number of deaths due to HIV/AIDS,2018,13000,Estimated number of people (all ages) living with HIV,2018,450000,Number of new HIV infections,19000
COG,Congo,Number of deaths due to HIV/AIDS,2018,4000,Estimated number of people (all ages) living with HIV,2018,89000,Number of new HIV infections,5300
COL,Colombia,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,160000,Number of new HIV infections,6900
COM,Comoros,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,100
CPV,Cabo Verde,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,2400,Number of new HIV infections,200
CRI,Costa Rica,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,15000,Number of new HIV infections,1000
CUB,Cuba,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,31000,Number of new HIV infections,1700
