GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,7200 [4100дус11 000],7200,4100,11000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,AGO,Angola,,330 000 [290 000дус390 000],330000,290000,390000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ALB,Albania,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,Argentina,,140 000 [130 000дус150 000],140000,130000,150000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ARM,Armenia,,3500 [3000дус4400],3500,3000,4400,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,AUS,Australia,,28 000 [23 000дус31 000],28000,23000,31000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,AUT,Austria,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,AZE,Azerbaijan,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BDI,Burundi,,82 000 [71 000дус97 000],82000,71000,97000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BEL,Belgium,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BEN,Benin,,73 000 [48 000дус120 000],73000,48000,120000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BFA,Burkina Faso,,96 000 [78 000дус120 000],96000,78000,120000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,BGD,Bangladesh,,14 000 [12 000дус16 000],14000,12000,16000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BGR,Bulgaria,,3500 [3000дус4100],3500,3000,4100,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,BHR,Bahrain,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BHS,Bahamas,,6000 [5300дус6700],6000,5300,6700,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BIH,Bosnia and Herzegovina,,<500 [<500дус<500],,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BLR,Belarus,,27 000 [22 000дус34 000],27000,22000,34000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BLZ,Belize,,4900 [4400дус5400],4900,4400,5400,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,22 000 [20 000дус24 000],22000,20000,24000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BRA,Brazil,,900 000 [690 000дус1 100 000],900000,690000,1100000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BRB,Barbados,,3000 [2700дус3400],3000,2700,3400,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,BRN,Brunei Darussalam,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,BTN,Bhutan,,1300 [700дус2700],1300,700,2700,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BWA,Botswana,,370 000 [330 000дус400 000],370000,330000,400000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CAF,Central African Republic,,110 000 [90 000дус140 000],110000,90000,140000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CAN,Canada,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,CHE,Switzerland,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CHL,Chile,,71 000 [63 000дус78 000],71000,63000,78000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,CHN,China,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CIV,CнЗte d'Ivoire,,460 000 [360 000дус580 000],460000,360000,580000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CMR,Cameroon,,540 000 [470 000дус590 000],540000,470000,590000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,COD,Democratic Republic of the Congo,,450 000 [370 000дус530 000],450000,370000,530000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,COG,Congo,,89 000 [69 000дус120 000],89000,69000,120000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,Colombia,,160 000 [130 000дус180 000],160000,130000,180000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,COM,Comoros,,<200 [<100дус<500],,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CPV,Cabo Verde,,2400 [2100дус2900],2400,2100,2900,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CRI,Costa Rica,,15 000 [13 000дус17 000],15000,13000,17000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CUB,Cuba,,31 000 [24 000дус37 000],31000,24000,37000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,CYP,Cyprus,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,CZE,Czechia,,4400 [3700дус5000],4400,3700,5000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,Germany,,87 000 [71 000дус100 000],87000,71000,100000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,DJI,Djibouti,,8800 [7100дус11 000],8800,7100,11000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DNK,Denmark,,6200 [5600дус7000],6200,5600,7000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,DOM,Dominican Republic,,70 000 [54 000дус92 000],70000,54000,92000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,DZA,Algeria,,16 000 [15 000дус17 000],16000,15000,17000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ECU,Ecuador,,44 000 [29 000дус71 000],44000,29000,71000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,EGY,Egypt,,22 000 [20 000дус24 000],22000,20000,24000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,ERI,Eritrea,,18 000 [13 000дус24 000],18000,13000,24000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ESP,Spain,,150 000 [130 000дус170 000],150000,130000,170000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,EST,Estonia,,7400 [6600дус8200],7400,6600,8200,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,ETH,Ethiopia,,690 000 [530 000дус900 000],690000,530000,900000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,FIN,Finland,,4000 [3100дус4900],4000,3100,4900,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,FJI,Fiji,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,FRA,France,,180 000 [150 000дус210 000],180000,150000,210000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GAB,Gabon,,53 000 [43 000дус67 000],53000,43000,67000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,GEO,Georgia,,9400 [8100дус11 000],9400,8100,11000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GHA,Ghana,,330 000 [280 000дус390 000],330000,280000,390000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GIN,Guinea,,120 000 [100 000дус140 000],120000,100000,140000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GMB,Gambia,,26 000 [21 000дус33 000],26000,21000,33000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GNB,Guinea-Bissau,,44 000 [39 000дус49 000],44000,39000,49000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GNQ,Equatorial Guinea,,62 000 [50 000дус81 000],62000,50000,81000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,GRC,Greece,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,GTM,Guatemala,,47 000 [43 000дус51 000],47000,43000,51000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,GUY,Guyana,,8200 [7200дус9400],8200,7200,9400,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,HND,Honduras,,23 000 [18 000дус28 000],23000,18000,28000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,HRV,Croatia,,1600 [1400дус1700],1600,1400,1700,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,HTI,Haiti,,160 000 [140 000дус180 000],160000,140000,180000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,HUN,Hungary,,3700 [3200дус4200],3700,3200,4200,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IDN,Indonesia,,640 000 [550 000дус750 000],640000,550000,750000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,India,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,IRL,Ireland,,7200 [6200дус8000],7200,6200,8000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,61 000 [34 000дус120 000],61000,34000,120000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ISL,Iceland,,<500 [<500дус<500],,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ISR,Israel,,9000 [8000дус10 000],9000,8000,10000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ITA,Italy,,130 000 [110 000дус140 000],130000,110000,140000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AMR,Americas,,JAM,Jamaica,,40 000 [35 000дус46 000],40000,35000,46000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,JOR,Jordan,,<500 [<500дус<500],,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,JPN,Japan,,30 000 [25 000дус34 000],30000,25000,34000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,KAZ,Kazakhstan,,26 000 [24 000дус27 000],26000,24000,27000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,AFR,Africa,,KEN,Kenya,,1 600 000 [1 300 000дус1 900 000],1600000,1300000,1900000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EUR,Europe,,KGZ,Kyrgyzstan,,8500 [6500дус12 000],8500,6500,12000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,KHM,Cambodia,,73 000 [64 000дус84 000],73000,64000,84000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,KOR,Republic of Korea,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2921,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,KWT,Kuwait,,640 [580дус700],640,580,700,,,
