GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,840 [<500‰ÛÒ1600],840,500,1600,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ALB,Albania,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,DZA,Algeria,,1300 [1200‰ÛÒ1400],1300,1200,1400,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,AGO,Angola,,28 000 [21 000‰ÛÒ36 000],28000,21000,36000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,Argentina,,6500 [5800‰ÛÒ7300],6500,5800,7300,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ARM,Armenia,,<200 [<200‰ÛÒ<500],200,200,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,AUS,Australia,,1000 [840‰ÛÒ1200],1000,840,1200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,AUT,Austria,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,AZE,Azerbaijan,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BHS,Bahamas,,<500 [<200‰ÛÒ<500],500,200,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,BHR,Bahrain,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,BGD,Bangladesh,,1600 [1400‰ÛÒ1800],1600,1400,1800,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BRB,Barbados,,<200 [<200‰ÛÒ<200],200,200,200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BLR,Belarus,,2000 [1400‰ÛÒ3100],2000,1400,3100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BEL,Belgium,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BLZ,Belize,,<500 [<500‰ÛÒ<500],500,500,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BEN,Benin,,3800 [1800‰ÛÒ7700],3800,1800,7700,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,BTN,Bhutan,,<100 [<100‰ÛÒ<500],100,100,500,,,
